                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.77356,                0.38355,                0.89713,                0.97548,                0.94471,                0.98303,                0.78168,                0.62495,                0.28835,                0.86177,             0.00036797,             0.00036797,             0.00036797
                     77,                0.77786,                0.38899,                0.90514,                0.97264,                0.94158,                0.98144,                0.77785,                0.63557,                0.29115,                0.86353,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.7931,                0.38792,                0.90238,                0.97475,                 0.9445,                0.98344,                0.78219,                0.61957,                0.28567,                0.85818,             0.00033967,             0.00033967,             0.00033967
                     79,                0.77361,                0.37945,                0.89278,                0.97747,                0.94672,                0.98474,                 0.7895,                0.61051,                0.28339,                0.85584,             0.00032553,             0.00032553,             0.00032553
                     80,                0.75331,                0.37353,                0.89202,                  0.981,                0.94745,                0.98514,                0.78898,                0.60809,                0.28257,                0.85677,             0.00031138,             0.00031138,             0.00031138
                     81,                0.75284,                0.37562,                0.89409,                0.97175,                0.96237,                 0.9858,                0.78622,                0.60745,                0.28034,                0.85387,             0.00029723,             0.00029723,             0.00029723
                     82,                0.74923,                0.36973,                0.89093,                 0.9748,                0.95368,                0.98546,                0.79113,                0.60532,                0.28126,                0.85366,             0.00028308,             0.00028308,             0.00028308
                     83,                0.74662,                 0.3713,                0.88509,                0.97664,                0.95021,                0.98445,                0.79242,                 0.5943,                0.27522,                0.85032,             0.00026894,             0.00026894,             0.00026894
                     84,                0.73003,                0.36489,                0.88881,                0.97471,                0.95822,                0.98455,                0.79803,                0.58852,                0.27169,                0.84816,             0.00025479,             0.00025479,             0.00025479
                     85,                0.74324,                0.36469,                0.89301,                0.97075,                0.96491,                0.98472,                0.79459,                0.59055,                0.27365,                0.84875,             0.00024064,             0.00024064,             0.00024064
                     86,                0.73351,                0.36586,                0.87951,                0.98491,                0.95686,                0.98566,                0.79704,                0.57771,                0.26531,                0.84487,              0.0002265,              0.0002265,              0.0002265
                     87,                0.71677,                0.35271,                0.88087,                0.98042,                 0.9653,                0.98732,                0.80773,                0.57196,                0.26339,                0.84455,             0.00021235,             0.00021235,             0.00021235
                     88,                0.75004,                0.36768,                0.88884,                0.98072,                0.96277,                0.98524,                0.79828,                0.57015,                0.26616,                0.84347,              0.0001982,              0.0001982,              0.0001982
                     89,                0.72199,                0.35259,                0.88706,                0.98011,                0.95873,                0.98565,                0.80077,                 0.5675,                0.26281,                0.84246,             0.00018406,             0.00018406,             0.00018406
                     90,                0.73161,                0.36112,                0.88519,                0.96777,                 0.9664,                0.98546,                0.80359,                0.56834,                0.26256,                0.84283,             0.00016991,             0.00016991,             0.00016991
                     91,                0.70892,                0.34572,                0.87877,                0.97497,                0.96661,                0.98625,                0.80648,                0.56289,                 0.2595,                 0.8396,             0.00015576,             0.00015576,             0.00015576
                     92,                0.70167,                 0.3465,                 0.8797,                0.97209,                0.96266,                0.98646,                0.81276,                0.55292,                0.25712,                0.83812,             0.00014161,             0.00014161,             0.00014161
                     93,                0.68814,                0.34023,                0.87758,                0.98348,                0.96551,                0.98824,                0.81048,                0.55733,                0.25372,                0.83783,             0.00012747,             0.00012747,             0.00012747
                     94,                0.70508,                0.34643,                0.87532,                0.97844,                0.96662,                 0.9867,                 0.8077,                0.54705,                 0.2525,                0.83648,             0.00011332,             0.00011332,             0.00011332
                     95,                0.69923,                0.34301,                0.87582,                0.98368,                0.96259,                0.98578,                0.81399,                0.53808,                0.24725,                 0.8338,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.69057,                0.34799,                0.87981,                0.98177,                0.96199,                0.98506,                0.81369,                0.53225,                0.24796,                0.83199,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.71133,                0.34097,                0.87594,                0.98401,                0.96695,                0.98766,                0.81741,                0.53398,                0.24589,                0.83274,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.68578,                0.33687,                0.87444,                0.98378,                0.96543,                 0.9859,                0.81789,                0.53115,                0.24574,                0.83258,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.68621,                 0.3357,                0.87915,                 0.9824,                 0.9683,                0.98734,                0.81966,                0.52766,                0.24347,                0.83137,             4.2584e-05,             4.2584e-05,             4.2584e-05
